Experiment	Oscilloscope	
759.99999E-3	-98.923991E-9
769.99998E-3	-98.923429E-9
779.99997E-3	-98.924488E-9
789.99996E-3	-98.923451E-9
799.99995E-3	-98.920779E-9
810.00000E-3	-98.919557E-9
819.99999E-3	-98.917269E-9
829.99998E-3	-98.913688E-9
839.99997E-3	-98.911066E-9
849.99996E-3	-98.913276E-9
859.99995E-3	-98.913240E-9
870.00000E-3	-98.916402E-9
880.00000E-3	-98.917951E-9
889.99999E-3	-98.917631E-9
899.99998E-3	-98.917916E-9
909.99997E-3	-98.918207E-9
919.99996E-3	-98.918768E-9
930.00001E-3	-98.917369E-9
940.00000E-3	-98.916971E-9
949.99999E-3	-98.915052E-9
959.99998E-3	-98.913461E-9
969.99997E-3	-98.911535E-9
979.99996E-3	-98.909311E-9
989.99995E-3	-98.906924E-9
1.0000000E+0	-98.907449E-9
1.0100000E+0	-98.909013E-9
1.0200000E+0	-98.905346E-9
1.0300000E+0	-98.907094E-9
1.0400000E+0	-98.910576E-9
1.0500000E+0	-98.911656E-9
1.0599999E+0	-98.911912E-9
1.0699999E+0	-98.915400E-9
1.0799999E+0	-98.917660E-9
1.0900000E+0	-98.914597E-9
1.1000000E+0	-98.914953E-9
1.1100000E+0	-98.915237E-9
1.1200000E+0	-98.910469E-9
1.1300000E+0	-98.907016E-9
1.1400000E+0	-98.905957E-9
1.1500000E+0	-98.902056E-9
1.1600000E+0	-98.901253E-9
1.1700000E+0	-98.900365E-9
1.1799999E+0	-98.899953E-9
1.1899999E+0	-98.900649E-9
1.1999999E+0	-98.903939E-9
1.2099999E+0	-98.905282E-9
1.2200000E+0	-98.907492E-9
1.2300000E+0	-98.911244E-9
1.2400000E+0	-98.911329E-9
1.2500000E+0	-98.910469E-9
1.2600000E+0	-98.910519E-9
1.2700000E+0	-98.910093E-9
1.2800000E+0	-98.904906E-9
1.2900000E+0	-98.903662E-9
1.3000000E+0	-98.902142E-9
1.3099999E+0	-98.899569E-9
1.3199999E+0	-98.897011E-9
1.3299999E+0	-98.897054E-9
1.3399999E+0	-98.898717E-9
1.3500000E+0	-98.899541E-9
1.3600000E+0	-98.902042E-9
1.3700000E+0	-98.903669E-9
1.3800000E+0	-98.905339E-9
1.3900000E+0	-98.908245E-9
1.4000000E+0	-98.908018E-9
1.4100000E+0	-98.906085E-9
1.4200000E+0	-98.906206E-9
1.4299999E+0	-98.903975E-9
1.4399999E+0	-98.898269E-9
1.4499999E+0	-98.897061E-9
1.4599999E+0	-98.893288E-9
1.4699999E+0	-98.889288E-9
1.4800000E+0	-98.886652E-9
1.4900000E+0	-98.886233E-9
1.5000000E+0	-98.883682E-9
1.5100000E+0	-98.883831E-9
1.5200000E+0	-98.887057E-9
1.5300000E+0	-98.889629E-9
1.5400000E+0	-98.891327E-9
1.5500000E+0	-98.894297E-9
1.5599999E+0	-98.897900E-9
1.5699999E+0	-98.898575E-9
1.5799999E+0	-98.901559E-9
1.5899999E+0	-98.899328E-9
1.5999999E+0	-98.897651E-9
1.6100000E+0	-98.896102E-9
